Id,Name,RatingDist1,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Genre,PublicationYear
53343,On Writing Well: The Classic Guide to Writing Nonfiction,1:114,4:7591,total:20985,5,4,Harper Perennial,1407,2016,eng,William Zinsser,4.26,2:504,5:9789,0060891548,3:2987,Reference,2006
3292046,"Passion Play (River of Souls, #1)",1:48,4:231,total:754,4,24,Tor Books,126,2012,eng,Beth Bernobich,3.42,2:109,5:147,0765361981,3:219,,2012
96125,So You Want to Be President?,1:191,4:2774,total:8339,19,8,Philomel Books,881,2012,eng,Judith St. George,3.96,2:464,5:3036,0399243178,3:1874,,
2914988,The Love of My Life,1:122,4:1450,total:4295,3,6,Bookouture,249,2015,eng,Louise Douglas,3.74,2:356,5:1168,,3:1199,,
146109,"Red Rackham's Treasure (Tintin, #12)",1:54,4:4601,total:13087,1,6,Egmont,194,2012,eng,Hergé,4.26,2:253,5:6153,1405206233,3:2026,Adventure,
2035785,Winter Journey,1:52,4:1181,total:3047,1,24,4th Estate,167,2017,eng,Diane Armstrong,4.05,2:119,5:1128,0732276950,3:567,Fiction,
879613,The Drowned World,1:607,4:4479,total:13503,10,4,Fourth Estate,102,2014,eng,J.G. Ballard,3.48,2:1683,5:2439,0007221835,3:4295,Cities,2006
128996,"The Comet's Curse (Galahad, #1)",1:25,4:302,total:949,2,3,Tor Teen,134,2010,,Dom Testa,3.72,2:88,5:259,,3:275,,
8833,Inconceivable,1:106,4:1583,total:4434,26,5,Delta,114,2010,,Ben Elton,3.5700000000000003,2:445,5:793,0385334656,3:1507,,
1466455,Three Wishes,1:998,4:42985,total:101463,24,6,Harper Paperbacks,5238,2014,eng,Liane Moriarty,3.78,2:4978,5:21661,0060586133,3:30841,,
79428,The Abolition of Man,1:395,4:7321,total:21574,7,4,HarperOne,1077,2015,eng,C.S. Lewis,4.09,2:916,5:8938,0060652942,3:4004,Religion,2001
38500,Women,1:1702,4:22600,total:60606,29,7,Ecco,2110,2014,eng,Charles Bukowski,3.85,2:4235,5:18390,0061177598,3:13679,Fiction,
23289,The Dead,1:303,4:4835,total:15273,17,5,Melville House Publishing,613,2011,eng,James Joyce,4.05,2:872,5:6344,,3:2919,,
815394,Parasite Rex: Inside the Bizarre World of Nature's Most Dangerous Creatures,1:68,4:1659,total:4682,9,11,Atria Books,352,2014,en-US,Carl Zimmer,4.19,2:156,5:2113,074320011X,3:686,,2001
161402,Three Lives,1:330,4:771,total:3326,17,3,Dover Publications,209,2011,,Gertrude Stein,3.1,2:671,5:454,0486280594,3:1100,Fiction,1994
213347,The Living,1:87,4:964,total:2701,12,11,Harper Perennial,309,2013,en-US,Annie Dillard,3.84,2:207,5:846,006092411X,3:597,Fiction,
857418,The Carrot Seed,1:168,4:4170,total:14572,26,5,HarperFestival,484,2020,,Ruth Krauss,4.08,2:738,5:6310,0694004928,3:3186,,
229778,Scorpions,1:79,4:719,total:2298,23,4,Amistad,353,2013,eng,Walter Dean Myers,3.81,2:176,5:736,0064406237,3:588,,
2125922,The Mousetrap: A Play,1:18,4:1272,total:3150,4,29,Samuel French Trade,125,2010,en-US,Agatha Christie,3.95,2:140,5:949,0573619239,3:771,,
118028,The Left Hand of Darkness  (Hainish Cycle #4),1:1640,4:41599,total:111713,1,12,Ace,435,2010,eng,Ursula K. Le Guin,4.07,2:5223,5:43218,0441478123,3:20033,Fiction,1987
2776789,"The Passage (The Passage, #1)",1:4721,4:68372,total:186478,8,1,Orion Books,216,2010,eng,Justin Cronin,4.04,2:10072,5:72124,0752897853,3:31189,,2010
588369,A Place Called Here,1:1027,4:9722,total:30327,1,3,HarperCollins,1119,2012,eng,Cecelia Ahern,3.67,2:3008,5:7836,0007198914,3:8734,Brothers,2007
28597,Prometheus Rising,1:66,4:1798,total:5664,1,9,New Falcon Publications,305,2010,eng,Robert Anton Wilson,4.26,2:200,5:2828,1561840564,3:772,"Body, Mind & Spirit",2003
3149123,"Something Borrowed (Darcy & Rachel, #1)",1:18234,4:171787,total:505082,3,29,St. Martin's Press,101,2011,en-US,Emily Giffin,3.85,2:33027,5:164273,031299317X,3:117761,,
14142,The Art of Loving,1:1217,4:15862,total:47932,6,8,Harper Perennial Modern Classics,1337,2019,eng,Erich Fromm,4.04,2:2487,5:19395,0061129739,3:8971,,
863005,The Yellow Wallpaper,1:1068,4:30051,total:81441,22,1,Virago,102,2013,eng,Charlotte Perkins Gilman,4.12,2:3141,5:33106,0860682013,3:14075,Fiction,
30128,"Lafcadio, the Lion Who Shot Back",1:67,4:1936,total:6232,24,9,HarperCollins,311,2013,eng,Shel Silverstein,4.15,2:271,5:2825,0060256753,3:1133,Juvenile Fiction,
1641683,Falling for Romeo,1:118,4:580,total:2041,1,5,Grove Creek Publishing,126,2011,en-GB,Jennifer Laurens,3.48,2:243,5:438,1933963948,3:662,Juvenile Fiction,
40312,The Rocky Road to Romance (Elsie Hawkins #4),1:190,4:2965,total:10387,29,11,Harper,317,2011,eng,Janet Evanovich,3.68,2:990,5:2711,0060598891,3:3531,Fiction,
24155,Judy Moody Declares Independence (Judy Moody #6),1:69,4:1121,total:4252,26,1,Candlewick,135,2010,eng,Megan McDonald,4.09,2:221,5:1927,076362800X,3:914,,
774001,"Amelia Bedelia  (Amelia Bedelia, #1)",1:1545,4:21759,total:82120,26,12,Greenwillow Books,949,2012,eng,Peggy Parish,4.17,2:3454,5:40288,0064441555,3:15074,Juvenile Fiction,1992
206731,The Tibetan Book of Living and Dying,1:335,4:7315,total:23331,25,2,HarperOne,465,2020,eng,Sogyal Rinpoche,4.22,2:829,5:11288,0062508342,3:3564,,1994
97864,Monday or Tuesday,1:71,4:736,total:2174,2,11,Dover Publications,168,2011,eng,Virginia Woolf,3.62,2:228,5:488,0486294536,3:651,Fiction,1997
763656,The Problem of Pain,1:1185,4:15615,total:45268,28,4,HarperOne,131,2015,en-US,C.S. Lewis,4.1,2:1828,5:19113,,3:7527,,
674220,"Again the Magic (Wallflowers, #0.5)",1:531,4:11302,total:31011,26,5,Avon,1276,2015,eng,Lisa Kleypas,4.05,2:1290,5:11787,0380811081,3:6101,Fiction,
2921431,"E. Aster Bunnymund and the Warrior Eggs at the Earth's Core! (The Guardians, #2)",1:11,4:1362,total:3289,2,21,Laura Geringer Book,309,2012,eng,William Joyce,4.17,2:64,5:1278,0060508329,3:574,Juvenile Fiction,
89551,"Ramona and Her Mother (Ramona Quimby, #5)",1:215,4:8060,total:23187,19,3,HarperCollins,466,2013,eng,Beverly Cleary,4.1,2:710,5:9271,,3:4931,,
